Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Parachutes,,,0,0,38,44,44,44,45,46,47,47,47,48,49,49,49,49,49,51,51,51,51,51
Paradise,,,0,0,0,0,0,0,0,0,0,0,0,0,42,122,124,147,153,221,278,278,279,282
Paris Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Paulistanos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Peace on Earth / Little Drummer Boy,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
People of the Pride,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Perfect Day,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Politik,,,0,0,0,0,72,157,256,307,318,394,475,486,521,521,521,521,521,523,523,523,523,523
Postcards From Far Away,,,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,7,7,7
Pour Me,,,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Princess of China,,,0,0,0,0,0,0,0,0,0,0,0,0,2,71,71,71,72,91,101,101,101,101
Proof,,,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Quebec Song,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Raspberry Beret,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Reign of Love,,,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6
Rhyming Song,,,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6
Ride On,,,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4
Ring of Fire,,,0,0,0,0,0,1,45,93,93,93,93,93,93,93,93,93,93,96,97,97,97,97
"Rocket Man (I Think It's Going to Be a Long, Long Time)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Run This Town,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
See You Soon,,,0,1,1,33,54,65,65,65,65,65,65,65,65,65,65,65,65,80,80,80,80,80
Sekai Ni Hitotsu Dake No Hana,,,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Shape of You,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shining Light,,,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Shiver,,,0,12,122,193,259,278,281,281,284,285,285,294,311,311,311,311,311,318,318,318,318,318
Shivers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Simple Twist of Fate,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
So Sad,,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Something Just Like This,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,60,61,62
Sometimes It Snows in April,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
